index,season,matchday,team,goals,ht_goals
0,21-21,1,Maurti Suzuki,144229,144229
1,21-21,1,Hyundai,49371,49371
2,21-21,1,Tata,45692,45692
3,21-21,1,Mahindra  ,30472,30472
4,21-21,1,Kia,14938,14938
5,21-21,2,Maurti Suzuki,124177,124177
6,21-21,2,Tata,46139,46139
7,21-21,2,Hyundai,44600,44600
8,21-21,2,Mahindra  ,28428,28428
9,21-21,2,Kia,15190,15190
10,21-21,3,Maurti Suzuki,135061,135061
11,21-21,3,Tata,54064,54064
12,21-21,3,Hyundai,46468,46468
13,21-21,3,Mahindra  ,29473,29473
14,21-21,3,Kia,15768,15768
15,21-21,4,Maurti Suzuki,99614,99614
16,21-21,4,Hyundai,33859,33859
17,21-21,4,Kia,11722,11722
18,21-21,4,Mahindra  ,23126,23126
19,21-21,4,Tata,41147,41147
20,21-21,5,Maurti Suzuki,37646,37646
21,21-21,5,Hyundai,16225,16225
22,21-21,5,Kia,5249,5249
23,21-21,5,Mahindra  ,9359,9359
24,21-21,5,Tata,16851,16851
25,21-21,6,Maurti Suzuki,76934,76934
26,21-21,6,Hyundai,34835,34835
27,21-21,6,Kia,15046,15046
28,21-21,6,Mahindra  ,22440,22440
29,21-21,6,Tata,34563,34563
30,21-21,7,Maurti Suzuki,118241,118241
31,21-21,7,Hyundai,45076,45076
32,21-21,7,Kia,16073,16073
33,21-21,7,Mahindra  ,31764,31764
34,21-21,7,Tata,44244,44244
35,21-21,8,Tata,46554,46554
36,21-21,8,Maurti Suzuki,113098,113098
37,21-21,8,Hyundai,44347,44347
38,21-21,8,Kia,14063,14063
39,21-21,8,Mahindra  ,31228,31228
40,21-21,9,Tata,46554,46554
41,21-21,9,Maurti Suzuki,113098,113098
42,21-21,9,Hyundai,44347,44347
43,21-21,9,Kia,14063,14063
44,21-21,9,Mahindra  ,31228,31228
45,21-21,10,Tata,50827,50827
46,21-21,10,Maurti Suzuki,95693,95693
47,21-21,10,Hyundai,38990,38990
48,21-21,10,Kia,14354,14354
49,21-21,10,Mahindra  ,25709,25709
50,21-21,11,Tata,54126,54126
51,21-21,11,Maurti Suzuki,104640,104640
52,21-21,11,Hyundai,37462,37462
53,21-21,11,Kia,12935,12935
54,21-21,11,Mahindra  ,31736,31736
55,21-21,12,Tata,54126,54126
56,21-21,12,Maurti Suzuki,104640,104640
57,21-21,12,Hyundai,37462,37462
58,21-21,12,Kia,12935,12935
59,21-21,12,Mahindra  ,31736,31736
60,20-20,1,Maurti Suzuki,154548,154548
61,20-20,1,Tata,47836,47836
62,20-20,1,Hyundai,46249,46249
63,20-20,1,Kia,9964,9964
64,20-20,1,Mahindra  ,43627,43627
65,20-20,2,Hyundai,35359,35359
66,20-20,2,Kia,10309,10309
67,20-20,2,Mahindra  ,44527,44527
68,20-20,2,Maurti Suzuki,117210,117210
69,20-20,2,Tata,49589,49589
70,20-20,3,Hyundai,32734,32734
71,20-20,3,Kia,9563,9563
72,20-20,3,Mahindra  ,54159,54159
73,20-20,3,Maurti Suzuki,96542,96542
74,20-20,3,Tata,70591,70591
75,20-20,4,Hyundai,2740,2740
76,20-20,4,Kia,291,291
77,20-20,4,Mahindra  ,8499,8499
78,20-20,4,Maurti Suzuki,8189,8189
79,20-20,4,Tata,12845,12845
80,20-20,5,Hyundai,6079,6079
81,20-20,5,Kia,1876,1876
82,20-20,5,Mahindra  ,1193,1193
83,20-20,5,Maurti Suzuki,17073,17073
84,20-20,5,Tata,1945,1945
85,20-20,6,Hyundai,24328,24328
86,20-20,6,Kia,5965,5965
87,20-20,6,Mahindra  ,10715,10715
88,20-20,6,Maurti Suzuki,68091,68091
89,20-20,6,Tata,9734,9734
90,20-20,7,Hyundai,30088,30088
91,20-20,7,Kia,7268,7268
92,20-20,7,Mahindra  ,17315,17315
93,20-20,7,Maurti Suzuki,82091,82091
94,20-20,7,Tata,17144,17144
95,20-20,8,Hyundai,35558,35558
96,20-20,8,Kia,7797,7797
97,20-20,8,Mahindra  ,20381,20381
98,20-20,8,Maurti Suzuki,92392,92392
99,20-20,8,Tata,21623,21623
100,20-20,9,Hyundai,36072,36072
101,20-20,9,Kia,8361,8361
102,20-20,9,Mahindra  ,25921,25921
103,20-20,9,Maurti Suzuki,102191,102191
104,20-20,9,Tata,28532,28532
105,20-20,10,Hyundai,44092,44092
106,20-20,10,Kia,16801,16801
107,20-20,10,Mahindra  ,28415,28415
108,20-20,10,Maurti Suzuki,130364,130364
109,20-20,10,Tata,34208,34208
110,20-20,11,Hyundai,48278,48278
111,20-20,11,Kia,18899,18899
112,20-20,11,Mahindra  ,34306,34306
113,20-20,11,Maurti Suzuki,149129,149129
114,20-20,11,Tata,40091,40091
115,20-20,12,Hyundai,46925,46925
