Make,Model,Variant,Displacement,Fuel_Type,Body_Type,Seating_Capacity,City_Mileage
Tata,Nano Genx,Xt,624 cc,Petrol,Hatchback,4,?23.6 kmpl
Tata,Nano Genx,Xe,624 cc,Petrol,Hatchback,4,?23.6 kmpl
Tata,Nano Genx,Emax Xm,624 cc,CNG,Hatchback,4,
Tata,Nano Genx,Xta,624 cc,Petrol,Hatchback,4,?23.6 kmpl
Tata,Nano Genx,Xm,624 cc,Petrol,Hatchback,4,?23.6 kmpl
Tata,Nano Genx,Xma,624 cc,Petrol,Hatchback,4,?23.6 kmpl
Datsun,Redi-Go,D,799 cc,Petrol,Hatchback,5,21.38 kmpl
Datsun,Redi-Go,T,799 cc,Petrol,Hatchback,5,21.38 kmpl
Datsun,Redi-Go,A,799 cc,Petrol,Hatchback,5,21.38 kmpl
Datsun,Redi-Go,S,799 cc,Petrol,Hatchback,5,21.38 kmpl
Datsun,Redi-Go,1.0 S,999 cc,Petrol,Hatchback,5,
Datsun,Redi-Go,1.0 S Amt,999 cc,Petrol,Hatchback,5,
Renault,Kwid,Rxe 0.8,799 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Std 0.8,799 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Rxl 0.8,799 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Rxt 0.8,799 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Rxt 1.0,999 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Climber 1.0 Mt,999 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Rxt Amt 1.0,999 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Climber Amt 1.0,999 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Rxt (O) 1.0,999 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Rxt (O) Amt 1.0,999 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Climber (O) Mt 1.0,999 cc,Petrol,Hatchback,5,25.17 kmpl
Renault,Kwid,Climber (O) Amt 1.0,999 cc,Petrol,Hatchback,5,25.17 kmpl
Maruti Suzuki,Eeco,5 Str,1196 cc,Petrol,MPV,5,12 kmpl
Maruti Suzuki,Eeco,7 Str,1196 cc,Petrol,MPV,7,12 kmpl
Maruti Suzuki,Eeco,5 Str With Ac+Htr,1196 cc,Petrol,MPV,5,11 kmpl
Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,1196 cc,CNG,MPV,5,
Maruti Suzuki,Eeco,5 Str With Htr Cng,1196 cc,CNG,MPV,5,
Maruti Suzuki,Alto K10,Lxi,998 cc,Petrol,Hatchback,5,14 kmpl
Maruti Suzuki,Alto K10,Vxi,998 cc,Petrol,Hatchback,5,14 kmpl
Maruti Suzuki,Alto K10,Lx,998 cc,Petrol,Hatchback,5,19 kmpl
Maruti Suzuki,Alto K10,Vxi (O),998 cc,Petrol,Hatchback,5,14 kmpl
Maruti Suzuki,Alto K10,Lxi Cng (O),998 cc,CNG,Hatchback,5,
Maruti Suzuki,Alto K10,Vxi Amt (O),998 cc,Petrol,Hatchback,5,14 kmpl
Datsun,Go,D,1198 cc,Petrol,Hatchback,5,
Datsun,Go,T,1198 cc,Petrol,Hatchback,5,
Datsun,Go,T (O),1198 cc,Petrol,Hatchback,5,20.6 kmpl
Datsun,Go,A (O),1198 cc,Petrol,Hatchback,5,20.6 kmpl
Datsun,Go,A,1198 cc,Petrol,Hatchback,5,20.6 kmpl
Datsun,Go,T Vdc,1198 cc,Petrol,Hatchback,5,
Datsun,Go,T (O) Vdc,1198 cc,Petrol,Hatchback,5,20.6 kmpl
Datsun,Go,T Cvt,1198 cc,Petrol,Hatchback,5,
Datsun,Go,T (O) Cvt,1198 cc,Petrol,Hatchback,5,20.6 kmpl
Maruti Suzuki,Celerio Tour,H2,998 cc,Petrol,Hatchback,5,23 kmpl
Maruti Suzuki,Celerio Tour,H2 Cng,998 cc,CNG,Hatchback,5,
Hyundai,Santro,Era Mt,1086 cc,Petrol,Hatchback,5,
Hyundai,Santro,Magna Mt,1086 cc,Petrol,Hatchback,5,
Hyundai,Santro,Magna Mt Cng,1086 cc,CNG,Hatchback,5,
Hyundai,Santro,Magna Amt,1086 cc,Petrol,Hatchback,5,
Hyundai,Santro,Sportz Mt,1086 cc,Petrol,Hatchback,5,
Hyundai,Santro,Sportz Mt Cng,1086 cc,CNG,Hatchback,5,
