year,month,company,sales,exports
2021,JAN,MARUTI SUZUKI,160752,12445
2020,JAN,MARUTI SUZUKI,154123,9624
2021,FEB,MARUTI SUZUKI,164469,11486
2020,FEB,MARUTI SUZUKI,147110,10261
2021,MAR,MARUTI SUZUKI,167104,11597
2020,MAR,MARUTI SUZUKI,83792,4712
2021,APR,MARUTI SUZUKI,159691,17237
2019,APR,MARUTI SUZUKI,134068,9177
2018,APR,MARUTI SUZUKI,164978,8088
2020,APR,MARUTI SUZUKI,632,632
2021,MAY,MARUTI SUZUKI,46555,11262
2020,MAY,MARUTI SUZUKI,18539,4651
2021,JUN,MARUTI SUZUKI,147368,17020
2020,JUN,MARUTI SUZUKI,57428,4289
2021,JUL,MARUTI SUZUKI,162462,21224
2020,JUL,MARUTI SUZUKI,108064,6757
2021,AUG,MARUTI SUZUKI,130699,20619
2020,AUG,MARUTI SUZUKI,124624,7920
2021,SEP,MARUTI SUZUKI,86380,12565
2020,SEP,MARUTI SUZUKI,160442,7834
2021,OCT,MARUTI SUZUKI,138335,21332
2020,OCT,MARUTI SUZUKI,182448,9586
2021,NOV,MARUTI SUZUKI,139184,21393
2020,NOV,MARUTI SUZUKI,153223,9004
2021,DEC,MARUTI SUZUKI,153149,22280
2020,DEC,MARUTI SUZUKI,160226,9938
2019,JAN,MARUTI SUZUKI,151721,9571
2018,JAN,MARUTI SUZUKI,151351,10751
2019,FEB,MARUTI SUZUKI,148682,9582
2018,FEB,MARUTI SUZUKI,149824,11924
2019,MAR,MARUTI SUZUKI,158076,10463
2018,MAR,MARUTI SUZUKI,160598,12016
2019,MAY,MARUTI SUZUKI,134641,9089
2018,MAY,MARUTI SUZUKI,172512,9312
2019,JUN,MARUTI SUZUKI,124708,9847
2018,JUN,MARUTI SUZUKI,144981,9319
2019,JUL,MARUTI SUZUKI,109264,9258
2018,JUL,MARUTI SUZUKI,164369,10219
2019,AUG,MARUTI SUZUKI,106413,9352
2018,AUG,MARUTI SUZUKI,158189,10489
2019,SEP,MARUTI SUZUKI,122640,7188
2018,SEP,MARUTI SUZUKI,162290,8740
2019,OCT,MARUTI SUZUKI,153435,9158
2018,OCT,MARUTI SUZUKI,146766,8666
2019,NOV,MARUTI SUZUKI,150630,6944
2018,NOV,MARUTI SUZUKI,152539,7521
2019,DEC,MARUTI SUZUKI,133296,7561
2018,DEC,MARUTI SUZUKI,128338,6859
2021,JAN,HYUNDAI,138971,79470
2021,FEB,HYUNDAI,116496,64394
2021,MAR,HYUNDAI,161314,87504
