fuel,total,month,year
CNG ONLY,5928,JAN,2021
CNG ONLY,10821,FEB,2021
CNG ONLY,13412,MAR,2021
CNG ONLY,8354,APR,2021
CNG ONLY,8354,MAY,2021
CNG ONLY,7022,JUN,2021
CNG ONLY,13755,JUL,2021
CNG ONLY,20675,AUG,2021
CNG ONLY,20675,SEP,2021
CNG ONLY,21584,OCT,2021
CNG ONLY,22330,NOV,2021
CNG ONLY,21525,DEC,2021
DIESEL,168182,JAN,2021
DIESEL,169844,FEB,2021
DIESEL,191373,MAR,2021
DIESEL,126162,APR,2021
DIESEL,126162,MAY,2021
DIESEL,124016,JUN,2021
DIESEL,181014,JUL,2021
DIESEL,147349,AUG,2021
DIESEL,147349,SEP,2021
DIESEL,132909,OCT,2021
DIESEL,137218,NOV,2021
DIESEL,156882,DEC,2021
DIESEL/HYBRID,8,JAN,2021
DIESEL/HYBRID,5,FEB,2021
DIESEL/HYBRID,4,APR,2021
DIESEL/HYBRID,4,MAY,2021
DIESEL/HYBRID,3,JUN,2021
DIESEL/HYBRID,2,JUL,2021
DIESEL/HYBRID,1,OCT,2021
DIESEL/HYBRID,2,NOV,2021
DIESEL/HYBRID,2,DEC,2021
DUAL DIESEL/CNG,5,APR,2021
DUAL DIESEL/CNG,5,MAY,2021
DUAL DIESEL/CNG,4,JUN,2021
DUAL DIESEL/CNG,1,JUL,2021
ELECTRIC(BOV),16214,JAN,2021
ELECTRIC(BOV),19121,FEB,2021
ELECTRIC(BOV),26079,MAR,2021
ELECTRIC(BOV),14179,APR,2021
ELECTRIC(BOV),14179,MAY,2021
ELECTRIC(BOV),11200,JUN,2021
ELECTRIC(BOV),26187,JUL,2021
ELECTRIC(BOV),34389,AUG,2021
ELECTRIC(BOV),34389,SEP,2021
ELECTRIC(BOV),38731,OCT,2021
ELECTRIC(BOV),42100,NOV,2021
ELECTRIC(BOV),50920,DEC,2021
LPG ONLY,1073,JAN,2021
LPG ONLY,887,FEB,2021
LPG ONLY,761,MAR,2021
LPG ONLY,1321,APR,2021
LPG ONLY,1321,MAY,2021
LPG ONLY,473,JUN,2021
LPG ONLY,1325,JUL,2021
LPG ONLY,1495,AUG,2021
LPG ONLY,1495,SEP,2021
LPG ONLY,1269,OCT,2021
LPG ONLY,1662,NOV,2021
LPG ONLY,1400,DEC,2021
METHANOL,1,FEB,2021
METHANOL,1,JUL,2021
NOT APPLICABLE,6135,JAN,2021
NOT APPLICABLE,6052,FEB,2021
NOT APPLICABLE,7723,MAR,2021
NOT APPLICABLE,3646,APR,2021
NOT APPLICABLE,3646,MAY,2021
NOT APPLICABLE,2783,JUN,2021
NOT APPLICABLE,4738,JUL,2021
NOT APPLICABLE,5687,AUG,2021
NOT APPLICABLE,5687,SEP,2021
NOT APPLICABLE,6042,OCT,2021
NOT APPLICABLE,4698,NOV,2021
NOT APPLICABLE,5882,DEC,2021
PETROL,1380383,JAN,2021
PETROL,1278742,FEB,2021
PETROL,1397166,MAR,2021
PETROL,1014954,APR,2021
PETROL,1014954,MAY,2021
PETROL,1056579,JUN,2021
PETROL,1298625,JUL,2021
PETROL,1065893,AUG,2021
PETROL,1065893,SEP,2021
PETROL,1143425,OCT,2021
PETROL,1588216,NOV,2021
PETROL,1302476,DEC,2021
PETROL/CNG,27421,JAN,2021
PETROL/CNG,23643,FEB,2021
PETROL/CNG,26124,MAR,2021
PETROL/CNG,15338,APR,2021
PETROL/CNG,15338,MAY,2021
PETROL/CNG,13678,JUN,2021
PETROL/CNG,26092,JUL,2021
PETROL/CNG,18894,AUG,2021
PETROL/CNG,18894,SEP,2021
PETROL/CNG,16653,OCT,2021
PETROL/CNG,17039,NOV,2021
PETROL/CNG,18782,DEC,2021
PETROL/HYBRID,12732,JAN,2021
PETROL/HYBRID,10572,FEB,2021
PETROL/HYBRID,11998,MAR,2021
PETROL/HYBRID,8026,APR,2021
PETROL/HYBRID,8026,MAY,2021
PETROL/HYBRID,7186,JUN,2021
PETROL/HYBRID,12394,JUL,2021
PETROL/HYBRID,10402,AUG,2021
PETROL/HYBRID,10402,SEP,2021
PETROL/HYBRID,12595,OCT,2021
PETROL/HYBRID,11711,NOV,2021
PETROL/HYBRID,9919,DEC,2021
PETROL/LPG,2403,JAN,2021
PETROL/LPG,2711,FEB,2021
PETROL/LPG,3302,MAR,2021
PETROL/LPG,1026,APR,2021
PETROL/LPG,1026,MAY,2021
PETROL/LPG,578,JUN,2021
PETROL/LPG,871,JUL,2021
PETROL/LPG,774,AUG,2021
