index,fuel,month,year,regs
0,CNG ONLY,1,2021,5928
1,CNG ONLY,2,2021,10821
2,CNG ONLY,3,2021,13412
3,CNG ONLY,4,2021,8354
4,CNG ONLY,5,2021,8354
5,CNG ONLY,6,2021,7022
6,CNG ONLY,7,2021,13755
7,CNG ONLY,8,2021,20675
8,CNG ONLY,9,2021,20675
9,CNG ONLY,10,2021,21584
10,CNG ONLY,11,2021,22330
11,CNG ONLY,12,2021,21525
12,CNG ONLY,1,2020,2923
13,CNG ONLY,2,2020,3339
14,CNG ONLY,3,2020,6743
15,CNG ONLY,4,2020,1871
16,CNG ONLY,5,2020,186
17,CNG ONLY,6,2020,1831
18,CNG ONLY,7,2020,2410
19,CNG ONLY,8,2020,2841
20,CNG ONLY,9,2020,4054
21,CNG ONLY,10,2020,4852
22,CNG ONLY,11,2020,5806
23,CNG ONLY,12,2020,4752
24,CNG ONLY,1,2019,3006
25,CNG ONLY,2,2019,2521
26,CNG ONLY,3,2019,2768
27,CNG ONLY,4,2019,2875
28,CNG ONLY,5,2019,2630
29,CNG ONLY,6,2019,2231
30,CNG ONLY,7,2019,2543
31,CNG ONLY,8,2019,2515
32,CNG ONLY,9,2019,2297
33,CNG ONLY,10,2019,2584
34,CNG ONLY,11,2019,2744
35,CNG ONLY,12,2019,2078
36,CNG ONLY,1,2018,2613
37,CNG ONLY,2,2018,2394
38,CNG ONLY,3,2018,2468
39,CNG ONLY,4,2018,2730
40,CNG ONLY,5,2018,2441
41,CNG ONLY,6,2018,2145
42,CNG ONLY,7,2018,2068
43,CNG ONLY,8,2018,2133
44,CNG ONLY,9,2018,2388
45,CNG ONLY,10,2018,2814
46,CNG ONLY,11,2018,2545
47,CNG ONLY,12,2018,2645
48,DIESEL,1,2021,168182
49,DIESEL,2,2021,169844
50,DIESEL,3,2021,191373
51,DIESEL,4,2021,126162
52,DIESEL,5,2021,126162
53,DIESEL,6,2021,124016
54,DIESEL,7,2021,181014
55,DIESEL,8,2021,147349
56,DIESEL,9,2021,147349
57,DIESEL,10,2021,132909
58,DIESEL,11,2021,137218
59,DIESEL,12,2021,156882
60,DIESEL,1,2020,240899
61,DIESEL,2,2020,229625
62,DIESEL,3,2020,273629
63,DIESEL,4,2020,39441
64,DIESEL,5,2020,15886
65,DIESEL,6,2020,78856
66,DIESEL,7,2020,126500
67,DIESEL,8,2020,128040
68,DIESEL,9,2020,150398
69,DIESEL,10,2020,146087
70,DIESEL,11,2020,153091
