company,model,Variant,price,engine,fuel,body,seats,transmission,total_details
Mahindra,EVerito,D2,1267208,72,Electric,Sedan,5,Automatic,MahindraEVeritoD2
Mahindra,EVerito,D4,1293214,72,Electric,Sedan,5,Automatic,MahindraEVeritoD4
Mahindra,EVerito,D6,1303241,72,Electric,Sedan,5,Automatic,MahindraEVeritoD6
Bajaj,Qute(Re60),Qcar,263000,216,Petrol,Hatchback,4,Manual,BajajQute(Re60)Qcar
Bajaj,Qute(Re60),QcarCng,283000,216,CNG,Hatchback,4,Manual,BajajQute(Re60)QcarCng
Tata,NanoGenx,Xe,236447,624,Petrol,Hatchback,4,Manual,TataNanoGenxXe
Tata,NanoGenx,Xm,272223,624,Petrol,Hatchback,4,Manual,TataNanoGenxXm
Tata,NanoGenx,Xt,292667,624,Petrol,Hatchback,4,Manual,TataNanoGenxXt
Tata,NanoGenx,EmaxXm,296661,624,CNG,Hatchback,4,Manual,TataNanoGenxEmaxXm
Tata,NanoGenx,Xma,314815,624,Petrol,Hatchback,4,Automatic,TataNanoGenxXma
Tata,NanoGenx,Xta,334768,624,Petrol,Hatchback,4,Automatic,TataNanoGenxXta
MarutiSuzuki,Omni,5StrBs-Iv,282778,796,Petrol,MPV,5,Manual,MarutiSuzukiOmni5StrBs-Iv
MarutiSuzuki,Omni,E8StrBs-Iv,284485,796,Petrol,MPV,8,Manual,MarutiSuzukiOmniE8StrBs-Iv
MarutiSuzuki,Alto,Std,294800,796,Petrol,Hatchback,5,Manual,MarutiSuzukiAltoStd
MarutiSuzuki,Alto,Std(O),299900,796,Petrol,Hatchback,5,Manual,MarutiSuzukiAltoStd(O)
MarutiSuzuki,Alto,Lxi,352900,796,Petrol,Hatchback,5,Manual,MarutiSuzukiAltoLxi
MarutiSuzuki,Alto800Tour,H1,354235,796,Petrol,Hatchback,5,Manual,MarutiSuzukiAlto800TourH1
MarutiSuzuki,Alto800Tour,H1(O),356559,796,Petrol,Hatchback,5,Manual,MarutiSuzukiAlto800TourH1(O)
MarutiSuzuki,Alto,Lxi(O),357200,796,Petrol,Hatchback,5,Manual,MarutiSuzukiAltoLxi(O)
MarutiSuzuki,Alto,Vxi,376100,796,Petrol,Hatchback,5,Manual,MarutiSuzukiAltoVxi
MarutiSuzuki,Alto,VxiPlus,389600,796,Petrol,Hatchback,5,Manual,MarutiSuzukiAltoVxiPlus
MarutiSuzuki,Alto,LxiCng(Cng+,405570,796,CNG+Petrol,Hatchback,5,Manual,MarutiSuzukiAltoLxiCng(Cng+
MarutiSuzuki,Alto,Lxi(O)Cng(Cng+,409190,796,CNG+Petrol,Hatchback,5,Manual,MarutiSuzukiAltoLxi(O)Cng(Cng+
Datsun,Redi-Go,D,279650,799,Petrol,Hatchback,5,Manual,DatsunRedi-GoD
Renault,Kwid,Std0.8,283290,799,Petrol,Hatchback,5,Manual,RenaultKwidStd0.8
Datsun,Redi-Go,A,333419,799,Petrol,Hatchback,5,Manual,DatsunRedi-GoA
Datsun,Redi-Go,T,351832,799,Petrol,Hatchback,5,Manual,DatsunRedi-GoT
Renault,Kwid,Rxe0.8,353290,799,Petrol,Hatchback,5,Manual,RenaultKwidRxe0.8
Datsun,Redi-Go,S,362000,799,Petrol,Hatchback,5,Manual,DatsunRedi-GoS
Renault,Kwid,Rxl0.8,383290,799,Petrol,Hatchback,5,Manual,RenaultKwidRxl0.8
Renault,Kwid,Rxt0.8,413290,799,Petrol,Hatchback,5,Manual,RenaultKwidRxt0.8
MarutiSuzuki,AltoK10,Lx,360843,998,Petrol,Hatchback,5,Manual,MarutiSuzukiAltoK10Lx
MarutiSuzuki,S-Presso,Std,370500,998,Petrol,Hatchback,5,Manual,MarutiSuzukiS-PressoStd
MarutiSuzuki,S-Presso,Std(O),376500,998,Petrol,Hatchback,5,Manual,MarutiSuzukiS-PressoStd(O)
MarutiSuzuki,AltoK10,Lxi,377588,998,Petrol,Hatchback,5,Manual,MarutiSuzukiAltoK10Lxi
MarutiSuzuki,AltoK10,Vxi,394036,998,Petrol,Hatchback,5,Manual,MarutiSuzukiAltoK10Vxi
MarutiSuzuki,AltoK10,Vxi(O),407238,998,Petrol,Hatchback,5,Manual,MarutiSuzukiAltoK10Vxi(O)
MarutiSuzuki,S-Presso,Lxi,409000,998,Petrol,Hatchback,5,Manual,MarutiSuzukiS-PressoLxi
MarutiSuzuki,S-Presso,Lxi(O),415000,998,Petrol,Hatchback,5,Manual,MarutiSuzukiS-PressoLxi(O)
MarutiSuzuki,CelerioTour,H2,422444,998,Petrol,Hatchback,5,Manual,MarutiSuzukiCelerioTourH2
MarutiSuzuki,Celerio,Lxi,426289,998,Petrol,Hatchback,5,Manual,MarutiSuzukiCelerioLxi
MarutiSuzuki,S-Presso,Vxi,432500,998,Petrol,Hatchback,5,Manual,MarutiSuzukiS-PressoVxi
MarutiSuzukiR,Wagon,Lxi,434000,998,Petrol,Hatchback,5,Manual,MarutiSuzukiRWagonLxi
MarutiSuzuki,Celerio,LxiMt(O),434659,998,Petrol,Hatchback,5,Manual,MarutiSuzukiCelerioLxiMt(O)
MarutiSuzuki,S-Presso,Vxi(O),438500,998,Petrol,Hatchback,5,Manual,MarutiSuzukiS-PressoVxi(O)
MarutiSuzuki,AltoK10,VxiAmt(O),438559,998,Petrol,Hatchback,5,Automatic,MarutiSuzukiAltoK10VxiAmt(O)
MarutiSuzuki,AltoK10,LxiCng(O),439777,998,CNG,Hatchback,5,Manual,MarutiSuzukiAltoK10LxiCng(O)
MarutiSuzukiR,Wagon,Lxi(O),441000,998,Petrol,Hatchback,5,Manual,MarutiSuzukiRWagonLxi(O)
MarutiSuzuki,S-Presso,Vxi+,456000,998,Petrol,Hatchback,5,Manual,MarutiSuzukiS-PressoVxi+
MarutiSuzuki,Celerio,Vxi,465138,998,Petrol,Hatchback,5,Manual,MarutiSuzukiCelerioVxi
MarutiSuzuki,Celerio,Vxi(O)Mt,472257,998,Petrol,Hatchback,5,Manual,MarutiSuzukiCelerioVxi(O)Mt
MarutiSuzuki,CelerioX,Vxi,475198,998,Petrol,Hatchback,5,Manual,MarutiSuzukiCelerioXVxi
MarutiSuzuki,S-Presso,VxiAgs,475500,998,Petrol,Hatchback,5,AMT,MarutiSuzukiS-PressoVxiAgs
MarutiSuzukiR,Wagon,Vxi,479000,998,Petrol,Hatchback,5,Manual,MarutiSuzukiRWagonVxi
MarutiSuzuki,CelerioTour,H2Cng,480670,998,CNG,Hatchback,5,Manual,MarutiSuzukiCelerioTourH2Cng
MarutiSuzuki,CelerioX,Vxi(O),481074,998,Petrol,Hatchback,5,Manual,MarutiSuzukiCelerioXVxi(O)
MarutiSuzuki,S-Presso,Vxi(O)Ags,481500,998,Petrol,Hatchback,5,AMT,MarutiSuzukiS-PressoVxi(O)Ags
MarutiSuzukiR,Wagon,Vxi(O),486001,998,Petrol,Hatchback,5,Manual,MarutiSuzukiRWagonVxi(O)
MarutiSuzuki,Celerio,Zxi,490924,998,Petrol,Hatchback,5,Manual,MarutiSuzukiCelerioZxi
MarutiSuzuki,S-Presso,Vxi+Ags,499000,998,Petrol,Hatchback,5,AMT,MarutiSuzukiS-PressoVxi+Ags
MarutiSuzuki,CelerioX,Zxi,499734,998,Petrol,Hatchback,5,Manual,MarutiSuzukiCelerioXZxi
MarutiSuzukiR,Wagon,LxiCng,500500,998,CNG,Hatchback,5,Manual,MarutiSuzukiRWagonLxiCng
MarutiSuzukiR,Wagon,Lxi(O)Cng,507500,998,CNG,Hatchback,5,Manual,MarutiSuzukiRWagonLxi(O)Cng
MarutiSuzuki,Celerio,VxiAt,508138,998,Petrol,Hatchback,5,Automatic,MarutiSuzukiCelerioVxiAt
MarutiSuzuki,Celerio,Vxi(O)Ags,515257,998,Petrol,Hatchback,5,Automatic,MarutiSuzukiCelerioVxi(O)Ags
MarutiSuzuki,CelerioX,VxiAmt,518198,998,Petrol,Hatchback,5,Automatic,MarutiSuzukiCelerioXVxiAmt
MarutiSuzuki,CelerioX,VxiAmt(O),524074,998,Petrol,Hatchback,5,Automatic,MarutiSuzukiCelerioXVxiAmt(O)
MarutiSuzukiR,Wagon,VxiAgs,526000,998,Petrol,Hatchback,5,Automatic,MarutiSuzukiRWagonVxiAgs
MarutiSuzuki,Celerio,VxiCngMt,530000,998,CNG,Hatchback,5,Manual,MarutiSuzukiCelerioVxiCngMt
MarutiSuzuki,Celerio,Zxi(Opt),531279,998,Petrol,Hatchback,5,Manual,MarutiSuzukiCelerioZxi(Opt)
MarutiSuzukiR,Wagon,VxiAgs(O),533000,998,Petrol,Hatchback,5,Automatic,MarutiSuzukiRWagonVxiAgs(O)
MarutiSuzuki,Celerio,ZxiAgs,533924,998,Petrol,Hatchback,5,Automatic,MarutiSuzukiCelerioZxiAgs
MarutiSuzuki,CelerioX,Zxi(O),540350,998,Petrol,Hatchback,5,Manual,MarutiSuzukiCelerioXZxi(O)
MarutiSuzuki,CelerioX,ZxiAmt,542735,998,Petrol,Hatchback,5,Automatic,MarutiSuzukiCelerioXZxiAmt
MarutiSuzuki,Celerio,Zxi(O)Ags,543279,998,Petrol,Hatchback,5,Automatic,MarutiSuzukiCelerioZxi(O)Ags
MarutiSuzuki,CelerioX,ZxiAmt(O),552350,998,Petrol,Hatchback,5,Automatic,MarutiSuzukiCelerioXZxiAmt(O)
MarutiSuzuki,BalenoRs,Rs1.0,788913,998,Petrol,Hatchback,5,Manual,MarutiSuzukiBalenoRsRs1.0
Hyundai,Venue,1.0TurboGdiMtS,826000,998,Petrol,SUV,5,Manual,HyundaiVenue1.0TurboGdiMtS
