displacement,cylinders,weight,mpg
624,2,660,23.6
624,2,725,23.6
624,2,725,21.9
624,2,725,23.6
624,2,710,21.9
799,3,669,25.17
799,3,669,25.17
799,3,669,25.17
799,3,669,25.17
999,3,669,23.01
999,3,669,23.01
999,3,669,24.04
999,3,669,24.04
999,3,669,23.01
999,3,669,23.01
999,3,669,23.01
999,3,669,24.04
1196,4,920,15
1196,4,940,15
1196,4,928,15
998,3,745,24.07
998,3,750,24.07
998,3,740,24.07
998,3,755,24.07
998,3,755,24.07
1198,3,864,20.1
1198,3,864,20.1
1198,3,864,20.1
1198,3,864,20.1
1198,3,864,20.1
1198,3,864,20.1
1198,3,864,20.1
1198,3,864,20.1
1198,3,864,20.1
998,3,830,23.1
1199,3,935,23
1199,3,930,23
1199,3,930,23
1199,3,930,23
1199,3,930,23
1199,3,930,24
1199,3,930,24
1199,3,930,24
998,3,810,23.1
998,3,810,23.1
998,3,810,23.1
998,3,810,23.1
998,3,810,23.1
998,3,810,23.1
998,3,810,23.1
998,3,810,23.1
1197,4,860,20.89
1197,4,860,20.89
1197,4,825,20.89
1197,4,825,20.89
1197,4,825,20.89
999,3,947,20.5
999,3,947,20.5
999,3,947,20.5
999,3,947,20.5
1173,4,1080,16
1489,4,1145,16
1173,4,1080,16
1489,4,1145,16
1489,4,1145,16
1248,4,1145,23.7
1197,4,895,18.16
1197,4,895,18.16
1364,4,895,23.59
1197,4,895,18.16
1364,4,895,23.59
1364,4,895,23.59
1197,4,895,18.16
1364,4,895,23.59
1197,4,895,18.16
1364,4,895,23.59
1197,4,895,18.16
1364,4,895,23.59
1197,4,895,18.16
1364,4,895,23.59
1248,4,1132,22.95
1248,4,1132,22.95
1248,4,1132,22.95
1248,4,1132,22.95
1193,4,1095,17.57
1193,4,1095,17.57
1193,4,1095,17.57
1193,4,1095,17.57
1197,4,1100,15.7
1197,4,1100,20.14
1197,4,1100,20
1248,4,1045,28.4
1197,4,935,22
1197,4,1066,18.6
1396,4,1510,22.54
1197,4,1058,18.6
1396,4,1510,22.54
1197,4,1060,18.6
1396,4,1515,22.54
1197,4,1515,18.15
1396,4,1515,22.54
1197,4,1066,18.6
1197,4,1060,18.6
1197,4,1060,18.6
1396,4,1515,22.54
999,3,1033,18.78
999,3,1049,18.78
999,3,1053,18.78
1498,4,1033,20.14
1498,4,1142,20.14
1498,4,1158,20.14
1197,4,1109,17.21
1498,4,1148,19.91
1197,4,860,22
1197,4,872,22
1248,4,955,28.4
1197,4,882,22
1248,4,967,28.4
1197,4,872,22
1248,4,978,28.4
1248,4,978,28.4
1197,4,895,22
1197,4,882,22
1197,4,990,22
1248,4,895,28.4
1248,4,967,28.4
1248,4,990,28.4
1498,4,1062,24.4
1498,4,1074,24.4
1498,4,1080,24.4
1194,3,1026,19
1194,3,1038,19
1194,3,1044,19
1194,3,1032,19
1498,3,1068,24.4
999,3,1027,19
999,3,1039,19
999,3,1050,19
1194,4,1020,20.4
1194,4,1020,20.4
1194,4,1020,20.4
1498,4,1020,26.1
1498,4,1070,26.1
1498,4,1070,26.1
1498,4,1070,26.1
1498,4,1070,26.1
1194,4,1020,19.4
1194,4,1020,19.4
1498,4,1070,26.1
1496,4,935,16.78
1496,4,935,16.78
1364,4,1020,23.59
1364,4,1020,23.59
1364,4,1020,23.59
1496,4,990,16.78
1496,4,935,16.78
1364,4,1020,23.59
1364,4,1020,23.59
1496,4,990,16.78
1496,4,950,16.78
1197,4,935,17.71
1364,4,1030,23.59
1364,4,1015,23.59
1197,4,935,17.71
1364,4,1015,23.59
1461,4,1155,20.08
1461,4,1155,20.08
1461,4,1155,20.08
1248,4,1210,20
1248,4,1215,20
1368,4,1215,17.1
1248,4,1215,20
1197,4,910,23.87
1197,4,890,21.01
1197,4,935,19.56
1197,4,935,19.56
1197,4,935,19.56
1248,4,1245,20.5
1248,4,1240,20.5
1248,4,1255,20.5
1199,4,1042,18.2
1199,4,1066,19
1199,4,1044,18.2
1199,4,1064,19
1498,4,1139,27.3
1498,4,1146,27.3
1498,4,1155,27.3
1199,4,1066,18.2
1956,4,1654,16.3
1956,4,1654,16.3
1968,4,1720,17.06
1968,4,1720,17.06
1798,4,1540,13.7
1968,4,1565,18.19
1968,4,1340,20.38
1968,4,1340,20.38
1395,4,1340,19.2
1395,4,1340,19.2
1595,4,1425,14.81
2143,4,1577,15
1595,4,1425,14.81
2143,4,1577,15
1991,4,1510,15.04
2143,4,1570,17.9
2143,4,1570,17.9
1968,4,1565,18.19
1968,4,1565,18.19
1968,4,1565,18.19
2000,4,1580,10
1968,4,1585,15.73
1968,4,1685,15.73
1968,4,1585,15.73
1395,4,1585,16.9
1496,3,1295,21.15
1998,4,1370,14.59
1998,4,1960,13.8
1998,4,1330,16.47
1997,4,1639,11
1999,4,1611,11
1999,4,1611,11
1997,4,1639,11
1999,4,1730,13.12
1999,4,1871,13.12
1999,4,1871,19.33
1999,4,1729,19.33
1999,4,1687,19.33
1395,4,1430,19.2
1984,4,1780,14.11
1984,4,1780,14.11
1995,4,1785,18.56
1998,4,1785,18.56
1995,4,1785,18.56
2995,6,1790,13.57
2987,6,2432,12.8
2987,6,2455,12.8
6417,8,2458,12.8
3604,6,2455,8.61
2996,6,1640,10
2979,6,1625,9.9
1988,4,1440,7.4
1988,4,1440,7.4
2987,6,2535,11.6
5461,8,2580,12
2996,8,2580,12
2996,8,2580,12
2987,6,2535,11.6
3456,6,2195,18
2894,8,1770,10.8
2987,6,2132,13.5
2996,6,2113,7.8
3982,8,2080,14
4691,8,1880,10
2987,6,1925,7.9
5980,12,2200,7.8
4663,8,2200,7.8
3996,8,2045,10.63
4663,8,2115,7.8
5204,10,1670,6.71
3996,8,2200,7.8
5998,12,2320,8.6
3855,8,1730,9
5950,12,2422,19
3996,12,2428,8.77
4497,8,1395,9
6593,12,2490,17.3
6592,12,2490,7.29
6592,12,2360,10.2
6752,8,2685,9.5
6750,12,2753,22.5
6749,12,2629,22.8
7993,16,1995,5.95
7993,16,1995,5.95
796,3,730,22.05
796,3,732,22.05
796,3,755,22.05
796,3,757,22.05
796,3,762,22.05
796,3,755,22.05
796,3,757,22.05
796,3,762,22.05
998,3,726,21.4
998,3,726,21.4
998,3,726,21.4
998,3,726,21.4
998,3,726,21.7
998,3,726,21.7
998,3,726,21.7
998,3,726,21.7
998,3,726,21.7
998,3,726,21.7
998,3,810,23.1
998,3,810,23.1
998,3,810,23.1
998,3,810,23.1
998,3,810,23.1
998,3,830,23.1
998,3,830,23.1
998,3,810,23.1
998,3,810,23.1
998,3,830,23.1
1197,4,1003,19.77
1197,4,1003,19.77
1197,4,855,20.4
1197,4,863,20.4
1197,4,863,20.4
1197,4,871,20.4
1197,4,871,20.4
1197,4,880,20.4
1248,4,955,25.2
1248,4,965,25.2
1248,4,965,25.2
1248,4,975,25.2
1248,4,975,25.2
1248,4,985,25.2
1197,4,880,20.4
1248,4,985,25.2
1994,4,1710,11.12
1994,4,1738,11.12
1994,4,1710,11.12
1994,4,1738,11.12
1994,4,1710,11.12
1994,4,1738,11.12
1994,4,1710,11.12
1994,4,1710,11.12
1994,4,1710,11.12
1994,4,1710,11.12
1994,4,1710,11.12
1199,3,992,23
1199,3,992,23
1199,3,992,23
1199,3,992,23
1199,3,992,23
1199,3,992,23
1193,4,1135,17.6
1248,4,1152,23
1193,4,1135,17.6
1193,4,1129,17.6
1193,4,1135,17.6
1248,4,1106,23
1248,4,1155,20.65
1248,4,1170,23
1248,4,1170,23
1248,4,1185,23
1248,4,1155,20.65
1199,4,942,19
1498,4,993,27.4
1199,4,905,19.5
1498,4,1031,23.8
1199,4,945,19
1498,4,1039,23.8
1498,4,1010,27.4
1498,4,1023,27.4
1498,4,1021,27.4
1199,4,924,19.5
1199,4,921,19.5
1198,4,917,19.5
1498,4,1023,27.4
1199,4,924,19.5
1498,4,1023,27.4
1199,4,924,19.5
1498,4,1023,27.4
1199,4,924,19.5
1498,4,1023,27.4
1199,4,924,19.5
1298,4,985,11.9
1298,4,985,11.9
1368,4,1220,15.7
1248,4,1236,20.4
1248,4,1255,20.4
1248,4,1268,20.4
1368,4,1258,15.7
1493,4,1615,16.5
1493,4,1615,16.5
1493,4,1615,16.5
1493,4,1615,16.5
2523,4,1615,15.96
2523,4,1615,15.96
1248,4,1170,24.3
1248,4,1170,24.3
1248,4,1170,24.3
1248,4,1170,24.3
1248,4,1170,24.3
1248,4,1170,24.3
1248,4,1170,24.3
1248,4,1170,24.3
1248,4,1170,24.3
1497,3,1220,17
1497,3,1225,17
1497,3,1242,17
1497,3,1320,14.8
1498,4,1261,23
1498,4,1268,23
1498,4,1300,23
1498,4,1304,23
1497,4,1304,23
1498,3,1242,23
1497,4,1304,23
1498,4,1304,23
1498,4,1296,13.87
1498,4,1296,13.87
1498,4,1296,13.87
1461,4,1296,19.6
1461,4,1296,19.6
1461,4,1296,19.6
1461,4,1296,19.6
1461,4,1296,19.6
1461,4,1296,19.6
1461,4,1299,21.04
1461,4,1299,21.04
1461,4,1338,19.98
1461,4,1368,19.98
1461,4,1299,21.04
1461,4,1299,21.04
1461,4,1299,21.04
1598,4,1140,16.09
1598,4,1140,16.09
1598,4,1137,16.09
1197,4,1179,18.19
1197,4,1174,18.19
1498,4,1193,20.64
