cylinders,displacement,horsepower,weight,mpg
8,307,130,3504,18
8,350,165,3693,15
8,318,150,3436,18
8,304,150,3433,16
8,302,140,3449,17
8,429,198,4341,15
8,454,220,4354,14
8,440,215,4312,14
8,455,225,4425,14
8,390,190,3850,15
8,383,170,3563,15
8,340,160,3609,14
8,400,150,3761,15
8,455,225,3086,14
4,113,95,2372,24
6,198,95,2833,22
6,199,97,2774,18
6,200,85,2587,21
4,97,88,2130,27
4,97,46,1835,26
4,110,87,2672,25
4,107,90,2430,24
4,104,95,2375,25
4,121,113,2234,26
6,199,90,2648,21
8,360,215,4615,10
8,307,200,4376,10
8,318,210,4382,11
8,304,193,4732,9
4,97,88,2130,27
4,140,90,2264,28
4,113,95,2228,25
4,98,83,2046,25
6,232,100,2634,19
6,225,105,3439,16
6,250,100,3329,17
6,250,88,3302,19
6,232,100,3288,18
8,350,165,4209,14
8,400,175,4464,14
8,351,153,4154,14
8,318,150,4096,14
8,383,180,4955,12
8,400,170,4746,13
8,400,175,5140,13
6,258,110,2962,18
4,140,72,2408,22
6,250,100,3282,19
6,250,88,3139,18
4,122,86,2220,23
4,116,90,2123,28
4,79,70,2074,30
4,88,76,2065,30
4,71,65,1773,31
4,72,69,1613,35
4,97,60,1834,27
4,91,70,1955,26
4,113,95,2278,24
4,98,80,2126,25
4,97,54,2254,23
4,140,90,2408,20
4,122,86,2226,21
8,350,165,4274,13
8,400,175,4385,14
8,318,150,4135,15
8,351,153,4129,14
8,304,150,3672,17
8,429,208,4633,11
8,350,155,4502,13
8,350,160,4456,12
8,400,190,4422,13
3,70,97,2330,19
8,304,150,3892,15
8,307,130,4098,13
8,302,140,4294,13
8,318,150,4077,14
4,121,112,2933,18
4,121,76,2511,22
4,120,87,2979,21
4,96,69,2189,26
4,122,86,2395,22
4,97,92,2288,28
4,120,97,2506,23
4,98,80,2164,28
4,97,88,2100,27
8,350,175,4100,13
8,304,150,3672,14
8,350,145,3988,13
8,302,137,4042,14
8,318,150,3777,15
8,429,198,4952,12
8,400,150,4464,13
8,351,158,4363,13
8,318,150,4237,14
8,440,215,4735,13
8,455,225,4951,12
8,360,175,3821,13
6,225,105,3121,18
6,250,100,3278,16
6,232,100,2945,18
6,250,88,3021,18
6,198,95,2904,23
4,97,46,1950,26
8,400,150,4997,11
8,400,167,4906,12
8,360,170,4654,13
8,350,180,4499,12
6,232,100,2789,18
4,97,88,2279,20
4,140,72,2401,21
4,108,94,2379,22
3,70,90,2124,18
4,122,85,2310,19
6,155,107,2472,21
4,98,90,2265,26
8,350,145,4082,15
8,400,230,4278,16
4,68,49,1867,29
4,116,75,2158,24
4,114,91,2582,20
4,121,112,2868,19
8,318,150,3399,15
4,121,110,2660,24
6,156,122,2807,20
8,350,180,3664,11
6,198,95,3102,20
6,200,83,2875,21
6,232,100,2901,19
6,250,100,3336,15
4,79,67,1950,31
4,122,80,2451,26
4,71,65,1836,32
4,140,75,2542,25
6,250,100,3781,16
6,258,110,3632,16
6,225,105,3613,18
8,302,140,4141,16
8,350,150,4699,13
8,318,150,4457,14
8,302,140,4638,14
8,304,150,4257,14
4,98,83,2219,29
4,79,67,1963,26
4,97,78,2300,26
4,76,52,1649,31
4,83,61,2003,32
4,90,75,2125,28
4,90,75,2108,24
4,116,75,2246,26
4,120,97,2489,24
4,108,93,2391,26
4,79,67,2000,31
6,225,95,3264,19
6,250,105,3459,18
6,250,72,3432,15
6,250,72,3158,15
8,400,170,4668,16
8,350,145,4440,15
8,318,150,4498,16
8,351,148,4657,14
6,231,110,3907,17
6,250,105,3897,16
6,258,110,3730,15
6,225,95,3785,18
6,231,110,3039,21
8,262,110,3221,20
8,302,129,3169,13
4,97,75,2171,29
4,140,83,2639,23
6,232,100,2914,20
4,140,78,2592,23
4,134,96,2702,24
4,90,71,2223,25
4,119,97,2545,24
6,171,97,2984,18
4,90,70,1937,29
6,232,90,3211,19
4,115,95,2694,23
4,120,88,2957,23
4,121,98,2945,22
4,121,115,2671,25
4,91,53,1795,33
4,107,86,2464,28
4,116,81,2220,25
4,140,92,2572,25
4,98,79,2255,26
4,101,83,2202,27
8,305,140,4215,18
8,318,150,4190,16
8,304,120,3962,16
8,351,152,4215,15
6,225,100,3233,22
6,250,105,3353,22
6,200,81,3012,24
6,232,90,3085,23
4,85,52,2035,29
4,98,60,2164,25
4,90,70,1937,29
4,91,53,1795,33
6,225,100,3651,20
6,250,78,3574,18
6,250,110,3645,19
6,258,95,3193,18
4,97,71,1825,30
4,85,70,1990,32
4,97,75,2155,28
4,140,72,2565,27
4,130,102,3150,20
8,318,150,3940,13
4,120,88,3270,19
6,156,108,2930,19
6,168,120,3820,17
8,350,180,4380,17
8,350,145,4055,13
8,302,130,3870,13
8,318,150,3755,13
4,98,68,2045,32
4,111,80,2155,30
4,79,58,1825,36
4,122,96,2300,26
4,85,70,1945,34
8,305,145,3880,18
8,260,110,4060,17
8,318,145,4140,16
8,302,130,4295,15
6,250,110,3520,18
6,231,105,3425,21
6,225,100,3630,19
6,250,98,3525,19
8,400,180,4220,16
8,350,170,4165,16
8,400,190,4325,16
8,351,149,4335,16
4,97,78,1940,29
4,151,88,2740,25
4,97,75,2265,26
4,140,89,2755,26
4,98,63,2051,31
4,98,83,2075,34
4,97,67,1985,30
4,97,78,2190,31
6,146,97,2815,22
4,121,110,2600,22
3,80,110,2720,22
4,90,48,1985,43
4,98,66,1800,36
4,78,52,1985,33
4,85,70,2070,39
4,91,60,1800,36
8,260,110,3365,20
8,318,140,3735,19
8,302,139,3570,20
6,231,105,3535,19
6,200,95,3155,21
6,200,85,2965,20
4,140,88,2720,25
6,225,100,3430,21
6,232,90,3210,19
6,231,105,3380,21
6,200,85,3070,21
6,225,110,3620,19
6,258,120,3410,18
8,305,145,3425,19
6,231,165,3445,18
8,302,139,3205,18
8,318,140,4080,18
4,98,68,2155,30
4,134,95,2560,28
4,119,97,2300,27
4,105,75,2230,31
4,134,95,2515,21
4,156,105,2745,23
4,151,85,2855,24
4,119,97,2405,24
5,131,103,2830,20
6,163,125,3140,17
4,121,115,2795,22
6,163,133,3410,16
4,89,71,1990,32
4,98,68,2135,30
6,231,115,3245,22
6,200,85,2990,20
4,140,88,2890,22
6,232,90,3265,20
6,225,110,3360,21
8,305,130,3840,17
8,302,129,3725,18
8,351,138,3955,17
8,318,135,3830,18
8,350,155,4360,17
8,351,142,4054,16
8,267,125,3605,19
8,360,150,3940,19
4,89,71,1925,32
4,86,65,1975,34
4,98,80,1915,36
4,121,80,2670,27
5,183,77,3530,25
8,350,125,3900,23
4,141,71,3190,27
8,260,90,3420,24
4,105,70,2200,34
4,105,70,2150,35
4,85,65,2020,32
4,91,69,2130,37
4,151,90,2670,28
6,173,115,2595,29
6,173,115,2700,27
4,151,90,2556,34
4,98,76,2144,42
4,89,60,1968,38
4,98,70,2120,32
4,86,65,2019,37
4,151,90,2678,28
4,140,88,2870,26
4,151,90,3003,24
6,225,90,3381,19
4,97,78,2188,34
4,134,90,2711,30
4,120,75,2542,31
4,119,92,2434,37
4,108,75,2265,32
4,86,65,2110,47
4,156,105,2800,28
4,85,65,2110,41
4,90,48,2085,44
4,90,48,2335,43
5,121,67,2950,36
4,146,67,3250,30
4,91,67,1850,45
4,85,89,1835,41
4,97,67,2145,34
4,89,62,1845,30
6,168,132,2910,33
3,70,100,2420,24
4,122,88,2500,35
4,140,89,2905,24
4,107,72,2290,32
4,135,84,2490,27
4,151,84,2635,27
4,156,92,2620,26
6,173,110,2725,24
4,135,84,2385,30
4,79,58,1755,39
4,86,64,1875,39
4,81,60,1760,35
4,97,67,2065,32
4,85,65,1975,37
4,89,62,2050,38
4,91,68,1985,34
4,105,63,2215,35
4,98,65,2045,34
4,98,65,2380,30
4,105,74,2190,33
4,100,89,2320,35
4,107,75,2210,34
4,108,75,2350,32
4,119,100,2615,33
4,120,74,2635,32
4,141,80,3230,28
6,145,76,3160,31
6,168,116,2900,25
