price,displacement,cylinders,tank,height,length,width,doors,mileage,fuel,type
292667,624,2,24,1652,3164,1750,5,24,Petrol,Manual
236447,624,2,24,1652,3164,1750,5,24,Petrol,Manual
334768,624,2,24,1652,3164,1750,5,22,Petrol,Automatic
272223,624,2,24,1652,3164,1750,5,24,Petrol,Manual
314815,624,2,24,1652,3164,1750,5,22,Petrol,Automatic
279650,799,3,28,1541,3429,1560,5,25,Petrol,Manual
351832,799,3,28,1541,3429,1560,5,25,Petrol,Manual
333419,799,3,28,1541,3429,1560,5,25,Petrol,Manual
362000,799,3,28,1541,3429,1560,5,25,Petrol,Manual
390000,999,3,28,1541,3429,1560,5,23,Petrol,Manual
437065,999,3,28,1541,3429,1560,5,23,Petrol,Automatic
353290,799,3,28,1490,3731,1579,5,25,Petrol,Manual
283290,799,3,28,1490,3731,1579,5,25,Petrol,Manual
383290,799,3,28,1490,3731,1579,5,25,Petrol,Manual
413290,799,3,28,1490,3731,1580,5,25,Petrol,Manual
433290,999,3,28,1490,3731,1579,5,23,Petrol,Manual
454490,999,3,28,1490,3731,1579,5,23,Petrol,Manual
463290,999,3,28,1490,3731,1579,5,24,Petrol,Automatic
484490,999,3,28,1490,3731,1579,5,24,Petrol,Automatic
440990,999,3,28,1490,3731,1579,5,23,Petrol,Manual
470990,999,3,28,1490,3731,1579,5,23,Petrol,Automatic
462190,999,3,28,1490,3731,1579,5,23,Petrol,Manual
492190,999,3,28,1490,3731,1579,5,24,Petrol,Automatic
352136,1196,4,40,1800,3675,1475,5,15,Petrol,Manual
380573,1196,4,40,1800,3675,1475,5,15,Petrol,Manual
392967,1196,4,40,1800,3675,1475,5,15,Petrol,Manual
377588,998,3,35,1475,3545,1490,5,24,Petrol,Manual
394036,998,3,35,1475,3545,1490,5,24,Petrol,Manual
360843,998,3,35,1475,3545,1490,5,24,Petrol,Manual
407238,998,3,35,1460,3620,1475,5,24,Petrol,Manual
438559,998,3,35,1475,3545,1490,5,24,Petrol,Automatic
374990,1198,3,35,1507,3788,1636,5,20,Petrol,Manual
468229,1198,3,35,1507,3788,1636,5,20,Petrol,Manual
502492,1198,3,35,1507,3788,1636,5,20,Petrol,Manual
499990,1198,3,35,1507,3788,1636,5,20,Petrol,Manual
469990,1198,3,35,1507,3788,1636,5,20,Petrol,Manual
528464,1198,3,35,1507,3788,1636,5,20,Petrol,Manual
553015,1198,3,35,1507,3788,1636,5,20,Petrol,Manual
594464,1198,3,35,1507,3788,1636,5,20,Petrol,Manual
618015,1198,3,35,1507,3788,1636,5,20,Petrol,Manual
422444,998,3,35,1560,3600,1600,5,23,Petrol,Manual
429990,1086,4,35,1560,3610,1645,4,20,Petrol,Manual
503990,1086,4,35,1560,3610,1645,4,20,Petrol,Manual
