index,year,month,company,regs
0,2021,1,Maurti Suzuki,144229
1,2021,1,Hyundai,49371
2,2021,1,Tata,45692
3,2021,1,Mahindra  ,30472
4,2021,1,Kia,14938
5,2021,2,Maurti Suzuki,124177
6,2021,2,Tata,46139
7,2021,2,Hyundai,44600
8,2021,2,Mahindra  ,28428
9,2021,2,Kia,15190
10,2021,3,Maurti Suzuki,135061
11,2021,3,Tata,54064
12,2021,3,Hyundai,46468
13,2021,3,Mahindra  ,29473
14,2021,3,Kia,15768
15,2021,4,Maurti Suzuki,99614
16,2021,4,Hyundai,33859
17,2021,4,Kia,11722
18,2021,4,Mahindra  ,23126
19,2021,4,Tata,41147
20,2021,5,Maurti Suzuki,37646
21,2021,5,Hyundai,16225
22,2021,5,Kia,5249
23,2021,5,Mahindra  ,9359
24,2021,5,Tata,16851
25,2021,6,Maurti Suzuki,76934
26,2021,6,Hyundai,34835
27,2021,6,Kia,15046
28,2021,6,Mahindra  ,22440
29,2021,6,Tata,34563
30,2021,7,Maurti Suzuki,118241
31,2021,7,Hyundai,45076
32,2021,7,Kia,16073
33,2021,7,Mahindra  ,31764
34,2021,7,Tata,44244
35,2021,8,Tata,46554
36,2021,8,Maurti Suzuki,113098
37,2021,8,Hyundai,44347
38,2021,8,Kia,14063
39,2021,8,Mahindra  ,31228
40,2021,9,Tata,46554
41,2021,9,Maurti Suzuki,113098
42,2021,9,Hyundai,44347
43,2021,9,Kia,14063
44,2021,9,Mahindra  ,31228
45,2021,10,Tata,50827
46,2021,10,Maurti Suzuki,95693
47,2021,10,Hyundai,38990
48,2021,10,Kia,14354
49,2021,10,Mahindra  ,25709
50,2021,11,Tata,54126
51,2021,11,Maurti Suzuki,104640
52,2021,11,Hyundai,37462
53,2021,11,Kia,12935
54,2021,11,Mahindra  ,31736
55,2021,12,Tata,54126
56,2021,12,Maurti Suzuki,104640
57,2021,12,Hyundai,37462
58,2021,12,Kia,12935
59,2021,12,Mahindra  ,31736
60,2020,1,Maurti Suzuki,154548
61,2020,1,Tata,47836
62,2020,1,Hyundai,46249
63,2020,1,Kia,9964
64,2020,1,Mahindra  ,43627
65,2020,2,Hyundai,35359
66,2020,2,Kia,10309
67,2020,2,Mahindra  ,44527
68,2020,2,Maurti Suzuki,117210
69,2020,2,Tata,49589
70,2020,3,Hyundai,32734
71,2020,3,Kia,9563
72,2020,3,Mahindra  ,54159
73,2020,3,Maurti Suzuki,96542
74,2020,3,Tata,70591
75,2020,4,Hyundai,2740
76,2020,4,Kia,291
77,2020,4,Mahindra  ,8499
78,2020,4,Maurti Suzuki,8189
79,2020,4,Tata,12845
80,2020,5,Hyundai,6079
81,2020,5,Kia,1876
82,2020,5,Mahindra  ,1193
83,2020,5,Maurti Suzuki,17073
84,2020,5,Tata,1945
85,2020,6,Hyundai,24328
86,2020,6,Kia,5965
87,2020,6,Mahindra  ,10715
88,2020,6,Maurti Suzuki,68091
89,2020,6,Tata,9734
90,2020,7,Hyundai,30088
91,2020,7,Kia,7268
92,2020,7,Mahindra  ,17315
93,2020,7,Maurti Suzuki,82091
94,2020,7,Tata,17144
95,2020,8,Hyundai,35558
96,2020,8,Kia,7797
97,2020,8,Mahindra  ,20381
98,2020,8,Maurti Suzuki,92392
99,2020,8,Tata,21623
100,2020,9,Hyundai,36072
101,2020,9,Kia,8361
102,2020,9,Mahindra  ,25921
103,2020,9,Maurti Suzuki,102191
104,2020,9,Tata,28532
105,2020,10,Hyundai,44092
106,2020,10,Kia,16801
107,2020,10,Mahindra  ,28415
108,2020,10,Maurti Suzuki,130364
109,2020,10,Tata,34208
110,2020,11,Hyundai,48278
111,2020,11,Kia,18899
112,2020,11,Mahindra  ,34306
113,2020,11,Maurti Suzuki,149129
114,2020,11,Tata,40091
115,2020,12,Hyundai,46925
116,2020,12,Kia,18309
117,2020,12,Mahindra  ,32431
118,2020,12,Maurti Suzuki,134510
119,2020,12,Tata,39157
120,2019,1,Hyundai,51015
121,2019,1,Mahindra  ,44412
122,2019,1,Maurti Suzuki,155938
123,2019,1,Kia,0
124,2019,1,Tata,54068
125,2019,2,Hyundai,37325
126,2019,2,Mahindra  ,41199
127,2019,2,Kia,0
128,2019,2,Maurti Suzuki,114907
129,2019,2,Tata,46724
130,2019,3,Kia,0
131,2019,3,Hyundai,36042
132,2019,3,Mahindra  ,44782
133,2019,3,Maurti Suzuki,123564
134,2019,3,Tata,50812
135,2019,4,Kia,0
136,2019,4,Hyundai,35196
137,2019,4,Mahindra  ,41812
138,2019,4,Maurti Suzuki,118260
139,2019,4,Tata,50017
140,2019,5,Hyundai,37096
141,2019,5,Mahindra  ,42191
142,2019,5,Maurti Suzuki,119789
143,2019,5,Tata,46596
144,2019,5,Kia,0
145,2019,6,Hyundai,35807
146,2019,6,Mahindra  ,37493
147,2019,6,Maurti Suzuki,101955
148,2019,6,Tata,38830
149,2019,6,Kia,0
150,2019,7,Hyundai,38609
151,2019,7,Mahindra  ,38898
152,2019,7,Maurti Suzuki,101691
153,2019,7,Tata,40663
154,2019,7,Kia,0
155,2019,8,Hyundai,36342
156,2019,8,Kia,159
157,2019,8,Mahindra  ,32854
158,2019,8,Maurti Suzuki,91996
159,2019,8,Tata,37555
160,2019,9,Hyundai,31707
161,2019,9,Kia,3082
162,2019,9,Mahindra  ,30673
163,2019,9,Maurti Suzuki,86996
164,2019,9,Tata,35738
165,2019,10,Hyundai,47732
166,2019,10,Kia,8862
167,2019,10,Mahindra  ,38811
168,2019,10,Maurti Suzuki,138064
169,2019,10,Tata,39102
170,2019,11,Hyundai,49588
171,2019,11,Kia,10572
172,2019,11,Mahindra  ,44581
173,2019,11,Maurti Suzuki,137979
174,2019,11,Tata,43479
175,2019,12,Hyundai,39334
176,2019,12,Kia,10344
177,2019,12,Mahindra  ,33883
178,2019,12,Maurti Suzuki,103169
179,2019,12,Tata,36296
180,2018,1,Hyundai,53793
181,2018,1,Mahindra  ,48756
182,2018,1,Maurti Suzuki,140669
183,2018,1,Kia,0
184,2018,1,Tata,55192
185,2018,2,Hyundai,38146
186,2018,2,Mahindra  ,43220
187,2018,2,Kia,0
188,2018,2,Maurti Suzuki,110528
189,2018,2,Tata,48849
190,2018,3,Hyundai,39616
191,2018,3,Mahindra  ,47928
192,2018,3,Maurti Suzuki,134305
193,2018,3,Kia,0
194,2018,3,Tata,52699
195,2018,4,Hyundai,36684
196,2018,4,Mahindra  ,45299
197,2018,4,Maurti Suzuki,125589
198,2018,4,Tata,54042
199,2018,4,Kia,0
200,2018,5,Hyundai,37965
201,2018,5,Mahindra  ,44501
202,2018,5,Maurti Suzuki,134459
203,2018,5,Kia,0
204,2018,5,Tata,49438
205,2018,6,Hyundai,36518
206,2018,6,Mahindra  ,38696
207,2018,6,Maurti Suzuki,119889
208,2018,6,Tata,44973
209,2018,6,Kia,0
210,2018,7,Hyundai,37756
211,2018,7,Mahindra  ,40476
212,2018,7,Maurti Suzuki,118440
213,2018,7,Kia,0
214,2018,7,Tata,46879
215,2018,8,Hyundai,37567
216,2018,8,Mahindra  ,37533
217,2018,8,Maurti Suzuki,115185
218,2018,8,Tata,44293
219,2018,8,Kia,0
220,2018,9,Hyundai,36910
221,2018,9,Mahindra  ,35644
222,2018,9,Maurti Suzuki,113964
223,2018,9,Tata,46532
224,2018,9,Kia,0
225,2018,10,Hyundai,37742
226,2018,10,Mahindra  ,40308
227,2018,10,Maurti Suzuki,127171
228,2018,10,Tata,50172
229,2018,10,Kia,0
230,2018,11,Hyundai,48012
231,2018,11,Mahindra  ,44944
232,2018,11,Maurti Suzuki,138642
233,2018,11,Tata,50107
234,2018,11,Kia,0
235,2018,12,Hyundai,43063
236,2018,12,Mahindra  ,39404
237,2018,12,Maurti Suzuki,119717
238,2018,12,Tata,46356
239,2018,12,Kia,0
