year,month,company,regs,ht_goals
2021,1,CNG,5928,5928
2021,1,DIESEL,168182,168182
2021,1,ELECTRIC,16214,16214
2021,1,PETROL,1380383,1380383
2021,1,PETROL/CNG,27421,27421
2021,1,PETROL/HYBRID,12732,12732
2021,2,CNG,10821,10821
2021,2,DIESEL,169844,169844
2021,2,ELECTRIC,19121,19121
2021,2,PETROL,1278742,1278742
2021,2,PETROL/CNG,23643,23643
2021,2,PETROL/HYBRID,10572,10572
2021,3,CNG,13412,13412
2021,3,DIESEL,191373,191373
2021,3,ELECTRIC,26079,26079
2021,3,PETROL,1397166,1397166
2021,3,PETROL/CNG,26124,26124
2021,3,PETROL/HYBRID,11998,11998
2021,4,CNG,8354,8354
2021,4,DIESEL,126162,126162
2021,4,ELECTRIC,14179,14179
2021,4,PETROL,1014954,1014954
2021,4,PETROL/CNG,15338,15338
2021,4,PETROL/HYBRID,8026,8026
2021,5,CNG,8354,8354
2021,5,DIESEL,126162,126162
2021,5,ELECTRIC,14179,14179
2021,5,PETROL,1014954,1014954
2021,5,PETROL/CNG,15338,15338
2021,5,PETROL/HYBRID,8026,8026
2021,6,CNG,7022,7022
2021,6,DIESEL,124016,124016
2021,6,ELECTRIC,11200,11200
2021,6,PETROL,1056579,1056579
2021,6,PETROL/CNG,13678,13678
2021,6,PETROL/HYBRID,7186,7186
2021,7,CNG,13755,13755
2021,7,DIESEL,181014,181014
2021,7,ELECTRIC,26187,26187
2021,7,PETROL,1298625,1298625
2021,7,PETROL/CNG,26092,26092
2021,7,PETROL/HYBRID,12394,12394
2021,8,CNG,20675,20675
2021,8,DIESEL,147349,147349
2021,8,ELECTRIC,34389,34389
2021,8,PETROL,1065893,1065893
2021,8,PETROL/CNG,18894,18894
2021,8,PETROL/HYBRID,10402,10402
2021,9,CNG,20675,20675
2021,9,DIESEL,147349,147349
2021,9,ELECTRIC,34389,34389
2021,9,PETROL,1065893,1065893
2021,9,PETROL/CNG,18894,18894
2021,9,PETROL/HYBRID,10402,10402
2021,10,CNG,21584,21584
2021,10,DIESEL,132909,132909
2021,10,ELECTRIC,38731,38731
2021,10,PETROL,1143425,1143425
2021,10,PETROL/CNG,16653,16653
2021,10,PETROL/HYBRID,12595,12595
2021,11,CNG,22330,22330
2021,11,DIESEL,137218,137218
2021,11,ELECTRIC,42100,42100
2021,11,PETROL,1588216,1588216
2021,11,PETROL/CNG,17039,17039
2021,11,PETROL/HYBRID,11711,11711
2021,12,CNG,21525,21525
2021,12,DIESEL,156882,156882
2021,12,ELECTRIC,50920,50920
2021,12,PETROL,1302476,1302476
2021,12,PETROL/CNG,18782,18782
2021,12,PETROL/HYBRID,9919,9919
2020,1,CNG,2923,2923
2020,1,DIESEL,240899,240899
2020,1,ELECTRIC,16437,16437
2020,1,PETROL,1451243,1451243
2020,1,PETROL/CNG,39578,39578
2020,1,PETROL/HYBRID,5826,5826
2020,2,CNG,3339,3339
2020,2,DIESEL,229625,229625
2020,2,ELECTRIC,16149,16149
2020,2,PETROL,1439741,1439741
2020,2,PETROL/CNG,30756,30756
2020,2,PETROL/HYBRID,5142,5142
2020,3,CNG,6743,6743
2020,3,DIESEL,273629,273629
2020,3,ELECTRIC,13627,13627
2020,3,PETROL,1980828,1980828
2020,3,PETROL/CNG,23240,23240
2020,3,PETROL/HYBRID,7432,7432
2020,4,CNG,1871,1871
