index,team,matchday,season,goals,ht_goals
0,CNG ONLY,1,2021,5928,5928
1,CNG ONLY,2,2021,10821,10821
2,CNG ONLY,3,2021,13412,13412
3,CNG ONLY,4,2021,8354,8354
4,CNG ONLY,5,2021,8354,8354
5,CNG ONLY,6,2021,7022,7022
6,CNG ONLY,7,2021,13755,13755
7,CNG ONLY,8,2021,20675,20675
8,CNG ONLY,9,2021,20675,20675
9,CNG ONLY,10,2021,21584,21584
10,CNG ONLY,11,2021,22330,22330
11,CNG ONLY,12,2021,21525,21525
12,CNG ONLY,1,2020,2923,2923
13,CNG ONLY,2,2020,3339,3339
14,CNG ONLY,3,2020,6743,6743
15,CNG ONLY,4,2020,1871,1871
16,CNG ONLY,5,2020,186,186
17,CNG ONLY,6,2020,1831,1831
18,CNG ONLY,7,2020,2410,2410
19,CNG ONLY,8,2020,2841,2841
20,CNG ONLY,9,2020,4054,4054
21,CNG ONLY,10,2020,4852,4852
22,CNG ONLY,11,2020,5806,5806
23,CNG ONLY,12,2020,4752,4752
24,CNG ONLY,1,2019,"3,006","3,006"
25,CNG ONLY,2,2019,"2,521","2,521"
26,CNG ONLY,3,2019,"2,768","2,768"
27,CNG ONLY,4,2019,"2,875","2,875"
28,CNG ONLY,5,2019,"2,630","2,630"
29,CNG ONLY,6,2019,"2,231","2,231"
30,CNG ONLY,7,2019,"2,543","2,543"
31,CNG ONLY,8,2019,"2,515","2,515"
32,CNG ONLY,9,2019,"2,297","2,297"
33,CNG ONLY,10,2019,"2,584","2,584"
34,CNG ONLY,11,2019,"2,744","2,744"
35,CNG ONLY,12,2019,"2,078","2,078"
36,CNG ONLY,1,2018,"2,613","2,613"
37,CNG ONLY,2,2018,"2,394","2,394"
38,CNG ONLY,3,2018,"2,468","2,468"
39,CNG ONLY,4,2018,"2,730","2,730"
40,CNG ONLY,5,2018,"2,441","2,441"
41,CNG ONLY,6,2018,"2,145","2,145"
42,CNG ONLY,7,2018,"2,068","2,068"
43,CNG ONLY,8,2018,"2,133","2,133"
44,CNG ONLY,9,2018,"2,388","2,388"
45,CNG ONLY,10,2018,"2,814","2,814"
46,CNG ONLY,11,2018,"2,545","2,545"
47,CNG ONLY,12,2018,"2,645","2,645"
48,DIESEL,1,2021,168182,168182
49,DIESEL,2,2021,169844,169844
50,DIESEL,3,2021,191373,191373
51,DIESEL,4,2021,126162,126162
52,DIESEL,5,2021,126162,126162
53,DIESEL,6,2021,124016,124016
54,DIESEL,7,2021,181014,181014
55,DIESEL,8,2021,147349,147349
56,DIESEL,9,2021,147349,147349
57,DIESEL,10,2021,132909,132909
58,DIESEL,11,2021,137218,137218
59,DIESEL,12,2021,156882,156882
60,DIESEL,1,2020,240899,240899
61,DIESEL,2,2020,229625,229625
62,DIESEL,3,2020,273629,273629
63,DIESEL,4,2020,39441,39441
64,DIESEL,5,2020,15886,15886
65,DIESEL,6,2020,78856,78856
66,DIESEL,7,2020,126500,126500
67,DIESEL,8,2020,128040,128040
68,DIESEL,9,2020,150398,150398
69,DIESEL,10,2020,146087,146087
70,DIESEL,11,2020,153091,153091
71,DIESEL,12,2020,172511,172511
72,DIESEL,1,2019,"2,50,884","2,50,884"
73,DIESEL,2,2019,"2,18,855","2,18,855"
74,DIESEL,3,2019,"2,35,388","2,35,388"
75,DIESEL,4,2019,"2,11,095","2,11,095"
76,DIESEL,5,2019,"2,10,945","2,10,945"
77,DIESEL,6,2019,"1,92,152","1,92,152"
78,DIESEL,7,2019,"2,16,627","2,16,627"
79,DIESEL,8,2019,"1,97,596","1,97,596"
80,DIESEL,9,2019,"1,75,500","1,75,500"
81,DIESEL,10,2019,"2,02,091","2,02,091"
82,DIESEL,11,2019,"2,27,989","2,27,989"
83,DIESEL,12,2019,"1,98,750","1,98,750"
84,DIESEL,1,2018,"2,52,309","2,52,309"
85,DIESEL,2,2018,"2,28,459","2,28,459"
86,DIESEL,3,2018,"2,57,953","2,57,953"
87,DIESEL,4,2018,"2,38,324","2,38,324"
88,DIESEL,5,2018,"2,34,443","2,34,443"
89,DIESEL,6,2018,"2,20,769","2,20,769"
90,DIESEL,7,2018,"2,44,208","2,44,208"
91,DIESEL,8,2018,"2,19,037","2,19,037"
92,DIESEL,9,2018,"2,11,070","2,11,070"
93,DIESEL,10,2018,"2,28,873","2,28,873"
94,DIESEL,11,2018,"2,28,683","2,28,683"
95,DIESEL,12,2018,"2,23,790","2,23,790"
96,ELECTRIC(BOV),1,2021,16214,16214
97,ELECTRIC(BOV),2,2021,19121,19121
98,ELECTRIC(BOV),3,2021,26079,26079
99,ELECTRIC(BOV),4,2021,14179,14179
100,ELECTRIC(BOV),5,2021,14179,14179
101,ELECTRIC(BOV),6,2021,11200,11200
102,ELECTRIC(BOV),7,2021,26187,26187
103,ELECTRIC(BOV),8,2021,34389,34389
104,ELECTRIC(BOV),9,2021,34389,34389
105,ELECTRIC(BOV),10,2021,38731,38731
106,ELECTRIC(BOV),11,2021,42100,42100
107,ELECTRIC(BOV),12,2021,50920,50920
108,ELECTRIC(BOV),1,2020,16437,16437
109,ELECTRIC(BOV),2,2020,16149,16149
110,ELECTRIC(BOV),3,2020,13627,13627
111,ELECTRIC(BOV),4,2020,901,901
112,ELECTRIC(BOV),5,2020,1277,1277
113,ELECTRIC(BOV),6,2020,6210,6210
114,ELECTRIC(BOV),7,2020,7514,7514
115,ELECTRIC(BOV),8,2020,8118,8118
116,ELECTRIC(BOV),9,2020,10675,10675
117,ELECTRIC(BOV),10,2020,10898,10898
118,ELECTRIC(BOV),11,2020,12861,12861
119,ELECTRIC(BOV),12,2020,14986,14986
120,ELECTRIC(BOV),1,2019,"13,222","13,222"
121,ELECTRIC(BOV),2,2019,"11,580","11,580"
122,ELECTRIC(BOV),3,2019,"14,405","14,405"
123,ELECTRIC(BOV),4,2019,"10,572","10,572"
124,ELECTRIC(BOV),5,2019,"9,783","9,783"
125,ELECTRIC(BOV),6,2019,"10,764","10,764"
126,ELECTRIC(BOV),7,2019,"12,206","12,206"
127,ELECTRIC(BOV),8,2019,"12,816","12,816"
128,ELECTRIC(BOV),9,2019,"15,829","15,829"
129,ELECTRIC(BOV),10,2019,"15,197","15,197"
130,ELECTRIC(BOV),11,2019,"18,502","18,502"
131,ELECTRIC(BOV),12,2019,"16,438","16,438"
132,ELECTRIC(BOV),1,2018,"8,996","8,996"
133,ELECTRIC(BOV),2,2018,"7,507","7,507"
